datetime,Type,EMA_14,RSI_14,MACD_histogram,BB_middle,ADX,ATR,optimal_TP,optimal_SL
2024-06-04 07:00:00,BUY,1.2774944402012876,82.16783216783178,0.0007169038888286206,1.2754100000000002,34.42707449544899,0.0016214285714285515,0.0012000000000000899,0.0032999999999998586
2024-06-04 08:00:00,BUY,1.2779751815077827,88.4476534296025,0.0006636804491996946,1.2757299999999998,38.218314311533625,0.0015678571428571367,0.000700000000000145,0.005199999999999871
2024-06-04 09:00:00,BUY,1.2783784906400784,87.76978417266164,0.0005766074317044151,1.2760825,42.00955412761827,0.001475000000000004,0.0008000000000001339,0.006599999999999939
2024-06-04 10:00:00,BUY,1.278754691888068,87.31343283582049,0.0004907137602092714,1.2764275,46.20170572973099,0.0013892857142857279,0.0001500000000000945,0.006799999999999917
2024-06-04 11:00:00,BUY,1.2790073996363256,81.78137651821953,0.0003610802843475457,1.2767750000000002,50.09477172806079,0.001292857142857175,0.0006999999999999229,0.006250000000000089
2024-06-04 12:00:00,BUY,1.279246413018149,81.5573770491811,0.00025467653716891884,1.277145,54.19122111862856,0.0012678571428571697,0.0005500000000000504,0.006399999999999961
2024-06-04 13:00:00,BUY,1.2794735579490624,79.82062780269139,0.0001678301348011415,1.2776225,58.879831637463646,0.0012035714285714625,0.00039999999999995595,0.006550000000000056
2024-06-04 14:00:00,BUY,1.279677083555854,73.05389221556932,9.10302439834183e-05,1.27815,60.89754572414405,0.0009428571428571818,0.0003500000000000725,0.006599999999999939
2024-06-05 22:00:00,BUY,1.2777263462062554,71.84466019417376,0.0001415112503211826,1.2775775,20.606216020631603,0.0009714285714286072,0.0001500000000000945,0.003849999999999909
2024-06-07 21:00:00,BUY,1.2793723325192825,60.00000000000059,0.0001118235759281945,1.2791875000000001,21.94940665961378,0.0009392857142856822,0.001100000000000101,0.009199999999999875
2024-06-11 08:00:00,BUY,1.2725873727517234,66.917293233081,0.00037348304402304376,1.271935,20.354903857479037,0.0012392857142857286,0.001000000000000112,0.0016999999999998128
2024-06-11 09:00:00,BUY,1.2726023897181604,74.16666666666494,0.0003158057895688022,1.271995,20.51778324727734,0.0011571428571428566,0.0022999999999999687,0.0013999999999998458
